カテゴリ,フラグ,フラグON時売上,フラグOFF時売上,売上差分,売上影響率(%),フラグON日数,フラグOFF日数,数量影響率(%),絶対影響額
398:用度品,降雨フラグ,59.87943262411348,57.948805460750854,1.9306271633626224,3.3316082152379316,434,599,2.7405512000135084,1.9306271633626224
105:調理麺,祝日フラグ,569.8076923076923,671.3855243722304,-101.57783206453814,-15.129583283690407,29,745,-16.185209640145263,101.57783206453814
105:調理麺,土曜フラグ,632.775,672.1043338683788,-39.32933386837885,-5.851670921687717,94,680,-6.622526193247961,39.32933386837885
105:調理麺,日曜フラグ,646.5769230769231,670.256,-23.679076923076877,-3.532840724003497,88,686,-3.9207784842243583,23.679076923076877
105:調理麺,週末フラグ,639.5886075949367,675.7577981651376,-36.16919057020095,-5.352389668074855,182,592,-6.009309490322149,36.16919057020095
105:調理麺,平日フラグ,681.0655105973025,629.7282608695652,51.33724972773723,8.152286139556097,563,211,9.06240815126875,51.33724972773723
105:調理麺,休日フラグ,629.7282608695652,681.0655105973025,-51.33724972773723,-7.537784387688911,211,563,-8.309378368666916,51.33724972773723
105:調理麺,連休フラグ,629.6851851851852,670.7858243451464,-41.10063915996113,-6.1272372892026405,67,707,-8.583975474355784,41.10063915996113
105:調理麺,降雨フラグ,662.3547297297297,671.4643734643735,-9.109643734643782,-1.356683108538315,322,452,-0.8720930232558186,9.109643734643782
255:電池・電器・喫煙具,祝日フラグ,643.2666666666667,759.195530726257,-115.9288640595903,-15.269961342987774,15,364,-6.7100977198696965,115.9288640595903
255:電池・電器・喫煙具,土曜フラグ,793.0,748.716049382716,44.28395061728395,5.914652244171091,50,329,27.301163456036615,44.28395061728395
255:電池・電器・喫煙具,日曜フラグ,682.8245614035088,767.4683544303797,-84.64379302687087,-11.028961981070095,57,322,-0.5999286571326687,84.64379302687087
255:電池・電器・喫煙具,週末フラグ,733.7547169811321,762.7827715355805,-29.02805455444843,-3.805546695294546,107,272,15.016800206771777,29.02805455444843
255:電池・電器・喫煙具,平日フラグ,769.8968253968254,722.5371900826447,47.359635314180764,6.554629431429504,257,122,-11.256377551020414,47.359635314180764
255:電池・電器・喫煙具,休日フラグ,722.5371900826447,769.8968253968254,-47.359635314180764,-6.1514262368558725,122,257,12.684153790873165,47.359635314180764
255:電池・電器・喫煙具,連休フラグ,681.5263157894736,762.8149253731343,-81.28860958366067,-10.656399983770374,38,341,-8.486614460025498,81.28860958366067
