商品名,平均,標準偏差,最小,最大,中央値,変動係数_CV,需要パターン,安全在庫,発注点,推奨発注量_週間
Ｎｅｗｔｏｎ（ニュートン,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
ＯＡＴＳＩＤＥプレーン,1.8333333333333333,0.983192080250175,1.0,3.0,1.5,0.54,通常,2.0,4.0,13.0
Ｐガーナトリュフキャラメ,1.0,,1.0,1.0,1.0,,不明,,,7.0
Ｐルックシャインマスカッ,1.5,1.0,1.0,3.0,1.0,0.67,通常,2.0,4.0,10.0
Ｐルック生キャラメル,6.0,5.981452814975453,1.0,21.0,4.5,1.0,変動大,10.0,16.0,42.0
ＰＧスイートチリＳ缶,1.5,0.7559289460184544,1.0,3.0,1.0,0.5,通常,1.0,2.0,10.0
ＰＧスパイシーチキンＳ缶,1.5757575757575757,1.0316946929174053,1.0,6.0,1.0,0.65,通常,2.0,4.0,11.0
ＰＯＳレジロール５０巻,0.0,0.0,0.0,0.0,0.0,,不明,0.0,0.0,0.0
Ｓスター１０Ｂ,1.6,1.8750438591361562,1.0,9.0,1.0,1.17,変動大,3.0,5.0,11.0
Ｓスター７Ｂ,1.5,0.7071067811865476,1.0,2.0,1.5,0.47,通常,1.0,2.0,10.0
ＳＤドライクリスタル３５,3.0,,3.0,3.0,3.0,,不明,,,21.0
ＳＤブラックピンク３５０,12.0,9.309493362512628,3.0,25.0,10.0,0.78,変動大,15.0,27.0,84.0
ＳＯＹＪＯＹ　黒ゴマ,3.029850746268657,1.7142022550811185,1.0,8.0,3.0,0.57,通常,3.0,6.0,21.0
ＳＰＡ！（スパ！）,0.5,0.5773502691896257,0.0,1.0,0.5,1.15,変動大,1.0,2.0,4.0
ＳＰＡＭ　タコスミート,10.066666666666666,6.605913656572816,1.0,24.0,9.0,0.66,通常,11.0,21.0,70.0
ＳＰＡＭ　ツナマヨネーズ,23.82608695652174,11.339524086038622,7.0,78.0,21.0,0.48,通常,19.0,43.0,167.0
ＳＰＡＭ　玉子焼き,19.055555555555557,16.469789563135535,2.0,62.0,13.5,0.86,変動大,27.0,46.0,133.0
ＳＰＡＭ　玉子焼き明太子,13.952380952380953,5.616726720040688,2.0,26.0,13.0,0.4,通常,9.0,23.0,98.0
ＳＰＡＭむすび　玉子焼き,6.388888888888889,6.156191420875207,1.0,16.0,2.5,0.96,変動大,10.0,16.0,45.0
ＳｐｏｒｔｓＧｒａｐｈｉ,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
ＴＶＬＩＦＥ　首都圏版,0.0,,0.0,0.0,0.0,,不明,,,0.0
ＴｈｅＪａｐａｎＮｅｗｓ,0.0,0.0,0.0,0.0,0.0,,不明,0.0,0.0,0.0
ＵＳＢーＣ用イヤホン黒,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
ＵＳＢ－Ｃ電池充電器,1.0,,1.0,1.0,1.0,,不明,,,7.0
ＵＳＢ－Ｃ電池式６本,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
ＵＳＢ－Ｃ１．２ｍ,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
Ｗ・Ｃホワイト１・１００,1.2777777777777777,0.7410845762842114,0.0,4.0,1.0,0.58,通常,1.0,2.0,9.0
Ｗ・Ｃホワイト３ＢＯＸ,1.76,1.267543556122103,1.0,6.0,1.0,0.72,変動大,2.0,4.0,12.0
Ｗ・Ｃホワイト５・１０Ｐ,1.0,,1.0,1.0,1.0,,不明,,,7.0
Ｗ・Ｃレッド８・ＢＯＸ,2.8493150684931505,1.5694233979812133,1.0,8.0,3.0,0.55,通常,3.0,6.0,20.0
Ｗ・Ｃ・ホワイト・５,3.5903614457831323,1.9382928406348774,1.0,8.0,3.0,0.54,通常,3.0,7.0,25.0
Ｗｅｄｇｅ（ウェッジ）,0.0,,0.0,0.0,0.0,,不明,,,0.0
ＹＯＵＮＧ　ＫＩＮＧ（ヤ,0.8,0.4472135954999579,0.0,1.0,1.0,0.56,通常,1.0,2.0,6.0
Ｙｏｕｎｇ　ｃｈａｍｐｉ,0.5,0.7071067811865476,0.0,1.0,0.5,1.41,変動大,1.0,2.0,4.0
Ｚｅｒｏシート携帯,1.1081081081081081,0.5155247479663471,0.0,3.0,1.0,0.47,通常,1.0,2.0,8.0
ａｍｉ活ゼリーピングレ味,1.2,0.4472135954999579,1.0,2.0,1.0,0.37,通常,1.0,2.0,8.0
ａｎａｎ（アンアン）,0.0,0.0,0.0,0.0,0.0,,不明,0.0,0.0,0.0
ｂｉｔｌｏｔガンダム,1.125,0.3535533905932738,1.0,2.0,1.0,0.31,通常,1.0,2.0,8.0
ｅ－ｍａのどグレープ小袋,2.026666666666667,1.2517375311329637,0.0,6.0,2.0,0.62,通常,2.0,4.0,14.0
ｈａｎａキンモクセイ,1.0,,1.0,1.0,1.0,,不明,,,7.0
ｉｎゼリーエネルギー,32.57608695652174,10.57181999120404,13.0,70.0,31.5,0.32,通常,17.0,50.0,228.0
ｉｎゼリートリプルＥ,1.565217391304348,0.787752092782872,1.0,4.0,1.0,0.5,通常,1.0,3.0,11.0
ｉｎゼリーマルチビタミン,11.076086956521738,5.241914119928628,3.0,28.0,10.0,0.47,通常,9.0,20.0,78.0
ｉｎゼリーＥＮ　ブドウ糖,2.9705882352941178,1.5272334686406612,1.0,6.0,2.0,0.51,通常,3.0,6.0,21.0
ｉｎゼリーＶカロリーゼロ,3.0,2.8284271247461903,1.0,5.0,3.0,0.94,変動大,5.0,8.0,21.0
ｉｎバー　ベイクドチョコ,1.5714285714285714,0.5345224838248488,1.0,2.0,2.0,0.34,通常,1.0,3.0,11.0
ｉｎバー　ベイクドビター,1.3333333333333333,0.5163977794943223,1.0,2.0,1.0,0.39,通常,1.0,2.0,9.0
ｉｎバーザクザクビター,1.7058823529411764,0.7599605956573483,1.0,3.0,2.0,0.45,通常,1.0,3.0,12.0
ｉｎバープロテインバニラ,1.4444444444444444,0.726483157256779,1.0,3.0,1.0,0.5,通常,1.0,2.0,10.0
