商品名,売上金額,売上数量,販売日数,取扱店舗数,構成比,累積構成比,ABCランク,1日平均売上,平均単価
厚切りロースカツサンド,3408.0,8.0,1,1,0.00409869518495801,99.07032140228566,C,3408.0,426.0
ラーク・１００・ＢＯＸ,3437.0,7.0,7,1,0.004133572579430951,99.06622270710069,C,491.0,491.0
さくふわきなこもちぼーる,3450.0,23.0,13,3,0.004149207273505028,99.06208913452126,C,265.0,150.0
堅ぶつ揚げとうもろこし味,3456.0,27.0,14,1,0.004156423286154601,99.05793992724776,C,247.0,128.0
冷たいパスタチキンバジル,3493.0,7.0,7,1,0.004200922030826975,99.05378350396161,C,499.0,499.0
小岩井　Ｔｈｅカフェオレ,3498.0,22.0,4,1,0.00420693537470162,99.04958258193078,C,874.0,159.0
トマトジュースプレミアム,3552.0,24.0,13,2,0.004271879488547786,99.04537564655608,C,273.0,148.0
３種チーズとハムのサンド,3553.0,11.0,3,1,0.004273082157322714,99.04110376706754,C,1184.0,323.0
たっぷりコーンマヨネーズ,3564.0,12.0,2,2,0.004286311513846933,99.03683068491021,C,1782.0,297.0
ヤクルトＹ１０００,3600.0,24.0,11,1,0.004329607589744377,99.01955555062715,C,327.0,150.0
ロリポップＣちいかわ黒猫,3600.0,12.0,4,1,0.004329607589744377,99.02388515821688,C,900.0,300.0
ＵＳＢ－Ｃ電池式６本,3600.0,2.0,2,1,0.004329607589744377,99.03254437339636,C,1800.0,1800.0
白いたべっ子おさつバター,3600.0,20.0,14,2,0.004329607589744377,99.02821476580662,C,257.0,180.0
グローＨプロサクラＥＤ,3619.0,1.0,1,1,0.004352458296468028,99.0065438771512,C,3619.0,3619.0
グロー・ヒーロ・ルビー,3619.0,1.0,1,1,0.004352458296468028,99.00219141885474,C,3619.0,3619.0
ＩＱＯＳｉＯＳモデル,3619.0,1.0,1,1,0.004352458296468028,98.99783896055827,C,3619.0,3619.0
ＩＱＯＳｉＯＤバイオレ,3619.0,1.0,1,1,0.004352458296468028,99.01089633544767,C,3619.0,3619.0
◎ふわもち食感のメープル,3645.0,27.0,1,3,0.004383727684616181,98.9934865022618,C,3645.0,135.0
島星シトラスエール３５０,3672.0,12.0,7,1,0.004416199741539264,98.98910277457719,C,525.0,306.0
ヴァルトメンソールＣＬ,3696.0,7.0,7,1,0.0044450637921375595,98.98468657483565,C,528.0,528.0
ヴァルトＩメンソールＣＬ,3696.0,7.0,6,2,0.0044450637921375595,98.98024151104352,C,616.0,528.0
味付海苔　おかか味噌,3703.0,23.0,2,2,0.004453482473562063,98.97579644725138,C,1852.0,161.0
白玉入りお芋のどら焼き,3705.0,19.0,6,3,0.004455887811111921,98.97134296477782,C,618.0,195.0
ピュアポテト濃いのり塩,3720.0,24.0,16,2,0.004473927842735856,98.9668870769667,C,232.0,155.0
