商品名,売上金額,売上数量,販売日数,取扱店舗数,構成比,累積構成比,ABCランク,1日平均売上,平均単価,フェイスくくり大分類
手巻寿司　ねぎとろ（青ま,179170.0,779.0,92,2,0.21548216440402776,50.42152758826555,A,1948.0,230.0,100:米飯
ジョージア　ブラック,177459.0,1191.0,69,3,0.21342439813012426,50.63495198639567,A,2572.0,149.0,215:ドライ飲料
たまごサンド,176490.0,666.0,29,3,0.21225901208721804,50.847210998482886,A,6086.0,265.0,110:調理パン
天然水１Ｌ,176232.0,1049.0,54,2,0.2119487235432864,51.05915972202617,A,3264.0,168.0,215:ドライ飲料
メビウスＬ,175824.0,333.0,84,3,0.21145803468311536,51.270617756709285,A,2093.0,528.0,290:たばこ
◎ゴロゴロチョコのクッキ,173880.0,1260.0,91,3,0.20912004658465339,51.479737803293936,A,1911.0,138.0,145:パン
大きな　肉そぼろ卵黄ソー,173151.0,583.0,23,3,0.20824330104773017,51.68798110434167,A,7528.0,297.0,100:米飯
手巻寿司　納豆,172776.0,939.0,92,3,0.2077923002571318,51.8957734045988,A,1878.0,184.0,100:米飯
生ハム寿司,171296.0,808.0,51,3,0.2060123504702369,52.10178575506904,A,3359.0,212.0,100:米飯
◎ファミマ・ザ・メロンパ,170496.0,1332.0,92,3,0.2050502154502937,52.30683597051933,A,1853.0,128.0,145:パン
手巻寿司　シーチキンマヨ,169505.0,1015.0,92,3,0.20385837069433907,52.51069434121367,A,1842.0,167.0,100:米飯
◎チョコチップスナック６,169155.0,1253.0,92,3,0.2034374366231139,52.71413177783678,A,1839.0,135.0,145:パン
シルキータッチふつう,169150.0,425.0,89,2,0.20343142327923927,52.917563201116025,A,1901.0,398.0,240:紙・衛生用品
キレートクエン酸ゼリー,168630.0,803.0,92,2,0.20280603551627618,53.1203692366323,A,1833.0,210.0,205:健康サポート飲料
全粒粉サラダチキンたまご,167157.0,453.0,44,1,0.20103450441080578,53.321403741043106,A,3799.0,369.0,110:調理パン
◎大きいあらびきチョリソ,167076.0,1092.0,92,3,0.20093708824003653,53.522340829283145,A,1816.0,153.0,145:パン
◎もっちパン（ミート＆チ,166254.0,1374.0,92,3,0.19994849450704488,53.72228932379019,A,1807.0,121.0,145:パン
イーラインマスクピンク,165347.0,553.0,92,2,0.1988576739281843,53.921146997718374,A,1797.0,299.0,240:紙・衛生用品
◎天然水新潟県津南３７０,162900.0,1629.0,92,1,0.19591474343593307,54.11706174115431,A,1771.0,100.0,215:ドライ飲料
キャメＭベリープルーム,162435.0,357.0,89,3,0.19535550245559108,54.3124172436099,A,1825.0,455.0,290:たばこ
もち麦　枝豆ゆかり,162348.0,996.0,44,3,0.19525087027217222,54.50766811388207,A,3690.0,163.0,100:米飯
海老マヨネーズおむすび,160847.0,673.0,30,3,0.19344566444100383,54.70111377832307,A,5362.0,239.0,100:米飯
◎スーパーＣＨ無糖レモ３,160650.0,1350.0,92,1,0.1932087386923428,54.89432251701541,A,1746.0,119.0,305:ワイン・洋酒
漬け真鯛おむすび,159120.0,612.0,29,3,0.19136865546670145,55.085691172482115,A,5487.0,260.0,100:米飯
◎シャルドネ香るティー,156200.0,1420.0,30,3,0.18785686264390877,55.273548035126026,A,5207.0,110.0,215:ドライ飲料
その他３口座売上,152774.0,226.0,17,3,0.18373651942100205,55.45728455454703,A,8987.0,676.0,399:その他
タフグミｍｉｎｉデュオ,151368.0,636.0,89,3,0.18204556712345188,55.63933012167048,A,1701.0,238.0,180:ガム・キャンディ
冷やして食べるバウム,151302.0,906.0,92,3,0.18196619098430658,55.82129631265479,A,1645.0,167.0,130:デザート
北海道生ビール３５０,149256.0,691.0,33,2,0.17950553067080185,56.00080184332559,A,4523.0,216.0,295:ビール
Ｗ・Ｃ・ホワイト・５,146318.0,298.0,83,3,0.17597208981006046,56.17677393313565,A,1763.0,491.0,290:たばこ
ケントＴＲメンソール,145521.0,333.0,79,3,0.17501356279644206,56.35178749593209,A,1842.0,437.0,290:たばこ
ラッキーＳベリーＭ,141542.0,362.0,75,3,0.1702281437409996,56.52201563967309,A,1887.0,391.0,290:たばこ
大きな具材ミックスサント,140049.0,351.0,30,2,0.16843255926003062,56.690448198933126,A,4668.0,399.0,110:調理パン
不明,139596.0,760.0,92,3,0.1678877503049878,56.85833594923811,A,1517.0,184.0,xxx:不明
ラッキーストライク,139308.0,247.0,87,2,0.16754138169780824,57.02587733093592,A,1601.0,564.0,290:たばこ
ローストチキンパスタサラ,138006.0,374.0,80,3,0.16597550695285068,57.19185283788877,A,1725.0,369.0,115:サラダ
◎ハムチーズエッグマフィ,136968.0,878.0,65,3,0.1647271367644744,57.35657997465324,A,2107.0,156.0,145:パン
ネオＢベリーハイパー用,136955.0,301.0,74,3,0.1647115020704003,57.52129147672365,A,1851.0,455.0,290:たばこ
今治ＴＨネイビーＭＩＸ,136200.0,227.0,86,3,0.1638034871453289,57.68509496386898,A,1584.0,600.0,245:衣料品
◎アップルクリームデニッ,135540.0,1004.0,91,2,0.16300972575387576,57.84810468962285,A,1489.0,135.0,145:パン
ふんわりたまごのオムライ,135516.0,491.0,30,3,0.1629808617032775,58.011085551326126,A,4517.0,276.0,100:米飯
◎ふんわりもっちパン（チ,135424.0,1058.0,57,3,0.16287021617598402,58.17395576750211,A,2376.0,128.0,145:パン
